"죄종별(1)",죄종별(2),죄종별(3),죄종별(4),1990,1991,1992,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010
"죄종별(1)",죄종별(2),죄종별(3),죄종별(4),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개)
"형법범",강력범,방화,소계,1041,1057,1085,927,708,-,614,-,726,-,768,3,1145,4,1093,-,1263,-,1364,-,1371,-,1698,-,1631,-,1810,-,1731,-,1697,-,1955,-,1873,-,1891,-
"형법범",강력범,방화,현주·현존(건조물등)방화,-,-,-,-,446,-,388,-,456,-,471,-,694,-,733,-,804,-,948,-,915,-,1080,-,1065,-,1046,-,1084,-,1017,-,1193,-,1089,-,1094,-
"형법범",강력범,방화,현주·현존(건조물등)방화치상,-,-,-,-,15,-,17,-,19,-,19,-,32,-,33,-,31,-,35,-,30,-,42,-,58,-,51,-,39,-,47,-,38,-,39,-,37,-
"형법범",강력범,방화,현주·현존(건조물등)방화치사,-,-,-,-,11,-,19,-,17,-,25,-,20,-,16,-,23,-,26,-,25,-,30,-,35,-,22,-,31,-,20,-,19,-,13,-,20,-
"형법범",강력범,방화,일반(건조물등)방화,-,-,-,-,98,-,65,-,75,-,65,-,123,-,109,-,150,-,126,-,120,-,179,-,115,-,159,-,147,-,157,-,194,-,175,-,211,-
"형법범",강력범,방화,자기소유(건조물등)방화,-,-,-,-,47,-,47,-,45,-,54,-,108,-,72,-,69,-,63,-,67,-,79,-,46,-,103,-,96,-,128,-,140,-,215,-,203,-
"형법범",강력범,방화,방화연소,-,-,-,-,43,-,50,-,61,-,63,-,91,-,51,-,94,-,74,-,85,-,131,-,183,-,296,-,199,-,180,-,213,-,177,-,173,-
"형법범",강력범,방화,진화방해,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
"형법범",강력범,방화,폭발물파열(과실),-,-,-,-,1,-,3,-,10,-,9,-,4,-,2,-,2,-,6,-,4,-,2,-,9,-,14,-,14,-,12,-,12,-,10,-,11,-
"형법범",강력범,방화,가스등방류(유출·살포),-,-,-,-,-,-,-,-,-,-,13,-,14,-,22,-,19,-,14,-,29,-,45,-,35,-,36,-,23,-,16,-,37,-,24,-,8,-
"형법범",강력범,방화,가스등방류(유출·살포)치사상,-,-,-,-,-,-,-,-,-,-,1,-,4,-,-,-,2,-,-,-,2,-,1,-,1,-,1,-,3,-,-,-,3,-,-,-,1,-
"형법범",강력범,방화,가스·전기·증기공급사용방해,-,-,-,-,-,-,1,-,4,-,1,-,5,4,7,-,10,-,6,-,3,-,5,-,10,-,2,-,2,-,9,-,3,-,5,-,4,-
"형법범",강력범,방화,과실폭발물파열(방출·유출),-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,1,-,3,-,4,-,5,-,6,-,9,-,11,-,2,-
"형법범",강력범,방화,업무상과실폭발물파열(방출·유출),-,-,-,-,-,-,-,-,-,-,4,3,-,-,-,-,2,-,1,-,3,-,4,-,3,-,4,-,-,-,-,-,1,-,-,-,1,-
"형법범",강력범,방화,현주(현존)자동차방화,-,-,-,-,47,-,24,-,39,-,42,-,48,-,48,-,57,-,63,-,88,-,99,-,68,-,72,-,88,-,105,-,93,-,115,-,125,-
"형법범",강력범,방화,현재건조물방화치사·상죄,650,572,651,551,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,방화,공용·일반건조물방화죄,70,87,123,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,방화,자기소유건조물방화죄,39,46,63,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,방화,일반물방화죄,210,244,159,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,방화,자기소유일반물방화죄,24,33,43,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,방화,연소죄,8,8,10,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,방화,진화방해죄,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
